Date,Open,High,Low,Close,Adj Close,Volume
12/15/2020,3082.550049,3135,3081.100098,3112.350098,3107.923828,1058918
12/16/2020,3130.100098,3145,3105,3117.5,3113.066406,1025407
12/17/2020,3135,3157.5,3101.050049,3112.649902,3108.223145,969196
12/18/2020,3101,3144,3101,3135.300049,3130.841064,1109264
12/21/2020,3148,3152.850098,2944.949951,2994.100098,2989.842041,1397172
12/22/2020,3020,3060,2900.600098,3049.100098,3044.763672,1073505
12/23/2020,3046.600098,3073.5,3012,3040.050049,3035.726563,711716
12/24/2020,3045,3083.699951,3030,3073.100098,3068.729736,640601
12/28/2020,3096,3124,3062.699951,3082.600098,3078.216064,742559
12/29/2020,3096,3106,3061,3074,3069.628174,478502
12/30/2020,3080,3107.949951,3065.600098,3101.399902,3096.989258,505754
12/31/2020,3107,3117.800049,3085,3110,3105.577148,605742
1/1/2021,3115,3120.800049,3093,3102.649902,3098.237305,408952
1/4/2021,3112,3123.949951,3037.25,3043.850098,3039.52124,1599835
1/5/2021,3052,3074.350098,3031,3067.199951,3062.837891,1150326
1/6/2021,3081.300049,3123.600098,3046,3083.550049,3079.164795,1370394
1/7/2021,3094,3114.75,3034,3055.25,3050.905029,880259
1/8/2021,3070,3165.949951,3063.100098,3161.100098,3156.604492,1576465
1/11/2021,3161,3224.899902,3147.050049,3197.699951,3193.152344,1596027
1/12/2021,3190,3295,3180.449951,3248.25,3243.630371,1586336
1/13/2021,3260,3318,3216.699951,3256.800049,3252.168457,1424073
1/14/2021,3265,3295,3238.050049,3266.600098,3261.954346,803208
1/15/2021,3250,3270.850098,3174,3203,3198.444824,1199320
1/18/2021,3200,3217.550049,3082.25,3163.149902,3158.651367,1280163
1/19/2021,3170.5,3240.75,3170.5,3232.899902,3228.302246,770832
1/20/2021,3239,3292.5,3230.300049,3275.600098,3270.94165,841752
1/21/2021,3275.600098,3346,3219.699951,3247.300049,3242.681885,1300181
1/22/2021,3265,3483.949951,3258.899902,3374.899902,3370.100342,3813020
1/25/2021,3417.949951,3520.149902,3357.050049,3474.949951,3470.008057,2266967
1/27/2021,3450,3484,3329.949951,3358.550049,3353.773682,1333633
1/28/2021,3338.949951,3464.100098,3325.149902,3397.399902,3392.568115,1986409
